QuestionNumber,Question,RelatedTags,Answer
151,"Do you have a ranking for Gary's team's strength, strongest to weakest?","['Alakazam', 'Arcanine', 'Ash', 'Blastoise', 'Gary', 'Pokemon Battle']","Gary ironically has a more well balanced team than Ash (in that they’re roughly equal in fights). There are some like Blastoise, Alakazam, and Arcanine that are more useful in general, but they’re roughly at the same level of strength. He’s geared them more to cover individual roles."
152,Can you comment on his[Gary’s] Pidgeot? Is it just getting bad matchups against Plume and stronger than it appears?,"['Dragon type', 'Flying type', 'Gary', 'Pidgeot', 'Plume', 'Pokemon Battle']","Plume is kind of Gary’s Pidgeot’s worst possible matchup. He’s a lightning bruiser - hits hard, can tank hits few other non-dragon fliers can, and is way faster than most other fliers. Plume is his weak point. She’s faster and more maneuverable, and can hit almost as hard. Gary’s Pidgeot can outmuscle most dragons in the sky, although they have other abilities to draw on that can give them the edge if used correctly."
153,Other than the team we saw in the last chapter [chapter 51] does he [Gary] have any other Pokemon knocking about?,"['Gary', 'Golem']","He does, but the full list is in one of my notebooks somewhere haha. I know Golem is on there and roughly five to six more."
154,What was the team of Champion Uther and E4 Matthias(the one Agatha dethroned)?,"['Agatha', 'Champion', 'Matthias', 'Master Trainer', 'Normal type', 'Pallet Town', 'Pokemon Starter', 'Professor Oak', 'Raticate', 'Snorlax', 'Uther']","Admittedly, I haven’t 100% pinned down my timeline for the war to specifics, so this is subject to change. As of this second, Oak challenged them shortly before the war - it's one of the reasons he was able to secure the funding for Pallet Town. They knew nothing was going to get through him. Of course, that’s another reason he had a few vocal detractors - he’d proven his strength and was perceived as a coward for being unwilling to use it."
155,Was Raticate part of the team he [Uther] brought to the championship?,"['Champion', 'Raticate', 'Snorlax', 'Uther']","Yep, Raticate was one of his strongest. Probably his most dangerous after Snorlax."
156,How worried was Michael about battling Ash?,"['Ash', 'Michael', 'Pokemon Battle']","He was a little concerned (Michael realized it could get really, really bad if he played it wrong) but overall he was fairly confident. Michael knew he had far more experience, far more variety to draw from, and had managed to hide a lot of his aces. Ash, due to his smaller team, was at a massive disadvantage and Michael was happy to exploit that."
157,How panicked was he [Michael] when Infernus took out Jolteon?,"['Ash', 'Infernus', 'Jolteon', 'Michael', 'Pokemon Battle']",THAT scared the crap out of him. He’d expected Jolteon to sweep through most of Ash’s team.
158,On Michael’s strategy during the Indigo Conference Finals.,"['Ash', 'Dazed', 'Dusknoir', 'Michael', 'Pokemon Battle']","Yep, there’s a reason he pulled on his most broken Pokémon lol. He wasn’t risking a loss. He was definitely happy he picked Dusknoir for his anchor - he was 100% Ash would use Dazed, and he basically wanted a hard counter."
159,Is Air Lens limited to the Magmar line or can other Fire-types learn it too? And in a hypothetical scenario where Infernus didn't know Air Lens how many of Ash's team would he defeat?,"['Air Lens', 'Ash', 'Fire type', 'Jolteon', 'Magcargo', 'Magmar', 'Pokemon Battle']","Other fire-types can learn it, but generally only ones like Magmar or Magcargo. It’s significantly easier when you’re already putting out crazy heat. As for that, I think Jolteon would’ve made it through at least 2 of Ash’s team - Ash would’ve figured out a way to beat it, but it would be costly."
160,What happens when you release a Diglett or a Dugtrio on solid concrete? Or in the water?,"['Diglett', 'Dugtrio', 'Pokemon Biology']",A lot of property damage or a drowned Dugtrio.
161,On whether Giovanni has Aura.,"['Aura', 'Giovanni']",Giovanni doesn’t have Aura. He never knew about it’s existence.
162,"How are relations between Unova and the rest of the regions? Are they incredibly tense, or has the younger generation basically forgotten about the war?","['Alder', 'Indigo', 'Last War', 'League', 'National League', 'Kalos', 'Unova']","Relations between Unova, Kalos, and the Indigo League are pretty warm nowadays. The older generations still hold a bit of a grudge, but it helps that Unova’s fascist government during the  Last War was completely shut down and replaced with a new government. Alder led a coup with his group of idealistic revolutionaries and played an essential part in capturing important Unovan officials as they tried to escape, plus opened up several major gaps in the defenses that allowed the National League to make it a relatively bloodless assault."
163,So Alain will be there?,"['Alain', 'Ash', 'Kalos']","Alain exists, but Kalos is a very, very long way off before Ash even visits."
164,Did Orre watch the Kanto league?,"['Conference', 'Indigo', 'League', 'Kanto', 'Orre']","Yep, League Conferences are pretty popular entertainment. There are lots of people in Orre without the means to watch, however. They have more extreme things to worry about, especially in the central regions."
165,Were the longer periods of rest cause the fights were that brutal? Or cause of medical reasons like Orre not being fully developed (or this being before they discovered ditto cells)? [see question 125],"['Ditto', 'Michael', 'Orre', 'Pokemon Biology', 'Technology']","Both! The fights were life and death so many more extreme injuries popped up. Orre lacks the same infrastructure, so unless Michael was in a major city medical care was limited to potions and other items. It was also before they discovered Ditto cells as well - they first appeared a little over 10 years before Traveler began, so it had only just begun to spread to Orre by Michael’s time."
166,Why did Tobias think it would be easier to control the God of Nightmares rather than seemingly more friendly (as they live among humans) Latii?,"['Darkrai', 'Latti', 'Legendary Pokemon', 'Tobias']","Basically Tobias went in expecting something from the anime, but unfortunately lives in Traveler’s world."
167,"If the Shamouti situation were to become worse, would Mew Intervene to protect life?","['Mew', 'Shamouti Island']","Yep, eventually Mew would’ve arrived if it escalated, but was content to let things play out until it reached a point it seriously threatened life."
168,"How strong was Tobias, before Darkrai decided to fuck his head?","['Darkrai', 'Champion', 'Legendary Pokemon', 'Pokemon Master', 'Tobias']",He started his quest after he became a Conference Champion and Master.
169,Which Conference? Sinnoh?,"['Lily of the Valley Conference', 'Tobias', 'Sinnoh']","Yep, Sinnoh. And I’ll have to pass on the exact time, but it’s definitely been a while."
170,Could Ash have beaten Moltres in the Shamouti incident?,"['Ash', 'Legendary Pokemon', 'Moltres', 'Shamouti Island']",Not really. Moltres was vulnerable but it’s impossible to kill. They could have done some damage though.
171,How many more anime revivals does Infernus have left before he runs out and Ash has to find the dragon balls?,"['Ash', 'Infernus', 'Meta']",Infernus is on his last strike.
172,Since Kingdra looks like a seahorse do they act like sea horses too as in the males are responsible for raising children?,"['Horsea', 'Kingdra', 'Pokemon Biology']","I kind of imagine the male Kingdra would protect eggs and young Horsea while the female hunted, but both would be involved."
173,Water manipulation brought Torrent up to master level?,"['Torrent', 'Kingdra']","I’d say Torrent was already around Master-level, but the extra versatility water manipulation offers solidified that."
174,Have you thought about how Conference brackets are set up?,"['Ash', 'Conference', 'Pokemon Trainer']","A bit, although it’s not an area of specialty for me. But yeah, it’s not 100% random. Trainers who got all 8 main badges (and 7, 6, so on) were weighted to face trainers who had a higher percentage of badges gained through facing minor gyms (aka, the trainers who had to go through Preliminary rounds in order to enter). Look at how relatively easy Ash’s early fights were. The trainers he faced were still competent, but it wasn’t until he reached the Top 16 that he faced a real threat."
175,On the League scouting trainers.,"['Gym Leader', 'League', 'Metagross', 'Pokemon Trainer', 'Pallet Town']","Yeah, and there is a big bureaucracy in the League that handles a lot of the processing...or one Metagross lol. But Gym Leaders definitely highlight trainers with potential. All the Pallet trainers were noted."
176,What are time-zone differences like between the regions?,"['Galar', 'Hoenn', 'Indigo', 'Kalos', 'Location']","I imagine Unova basically on the other side of the world from Indigo, so it’s going to be somewhere around 12 hours. Hoenn will be several hours behind. Kalos and Galar are about 7-8 hours ahead of Indigo."
177,Sinnoh's probably only a couple hours then? [see question 176],"['Galar', 'Hoenn', 'Indigo', 'Kalos', 'Location']",Sinnoh is roughly in the same time zone as Indigo. It’s basically directly north.
178,Is there a substantial difference [between Lightning Bolt the technique and actual lightning bolts]?,"['Evolution', 'Lightning Bolt', 'Oz', 'Pokemon Biology']","Yep, there’s a massive difference. The energy contained in a natural lightning bolt is insane - Oz can generate pretty powerful blasts, but they’re just pale imitations."
179,How long is the planet's sidereal year?,"['Location', 'Pokemon World']","For simplicity’s sake, the Pokémon World has the same length year as our world does."
180,"Do pokeballs release Pokemon at a set distance or is it a combination of a set distance + a solid object? For example, if Ash presses Torrent's pokeball against his aquarium's glass and releases him, would he be materialized in the water? Would it fail?","['Pokemon Biology', 'Technology']","That’s a hard one. If I remember right there’s a few scenes in the anime where there seems to be intentionality to where a Pokémon is released, but I know there's also a sort of standard ‘appear right in front of you a few feet away’."
181,"Is Cynthia's last name pronounced Caro-lee-na, or Caro-lie-na?",['Language'],"Either or really. I’m from the south so I always say it the latter way, but to each their own."
182,What is the timeline (order?) of every conference in the National League?,"['Conference', 'Ever Grande', 'Indigo', 'League', 'Lily of the Valley', 'National League']","For simplicity’s sake, I’ve had it staggered as one month for each region (in order of appearance). The Indigo Conference is in March, Johto in April, Ever Grande in May, Lily of the Valley in June."
183,On Clair.,"['Ash', 'Clair', 'Lance', 'Master Trainer', 'Wataru Clan']","Admittedly, one thing to remember is that Clair is being shown from her family who know her too well and that colors their opinion of her as a trainer (particularly Lance, who’s personally disappointed by her stagnation since he wants a good fight). Beating Clair is still an achievement, and that fight would’ve been much, much more difficult without Ash doing his research on her. It’s really at the Master-level of opponents where her flaws are most noticeable."
184,How would a total war scenario look like regarding the trainers? Would all of them be conscripted barring powerful ones that could refuse like Oak did?,"['ACE Trainer', 'Last War', 'League', 'Ranger', 'Technology', 'Wild Pokemon']","There won’t be another war for at least a century (when the people affected by the Last War have passed on and those experiences are lost) due to the ridiculous amounts of devastation left by clashes between civilizations that had advanced in training and technology - with every trainer capable of carrying a small army, the damage was ridiculous. But, hypothetically, if one did occur then the League would stick with their normal forces (Rangers, ACE, perhaps working with local wild Pokémon). You wouldn’t see conscriptions unless it was an overwhelming force or the region itself was being threatened."
185,What's the possible explanation as to how we don't have a bunch of centuries old Rhydon running around?,"['Indigo', 'Mamoru', 'Rhydon']","There are 10-15 Rhydon in Indigo that have lived for centuries, but they frequently get into fights and kill each other. Mamoru also has a habit of culling them every few centuries when a few will band together and try to kill him."
186,Where are Mount Gold/Silver compared to each other roughly?,"['Blackthorn City', 'Location', 'Mt. Gold', 'Mt. Silver']","If I remember my plans correctly, Mt. Gold is roughly halfway between Blackthorn and Mt. Silver. It’s tucked away between larger mountains and difficult to pick out details from the air."
187,"I know that Mt. Coronet is considered the tallest mountain range in the pokemon world and is pretty perilous, but would Mount Silver be considered the more dangerous of the two mountains?","['Mt. Coronet', 'Mt. Silver']",I’d say it’s a pick your poison scenario. Mt. Silver is a very blunt kind of danger with harsh weather and strong Pokémon. Mt. Coronet is the danger of the unknown when you stray from the path.
188,Weren't there horrifically powerful ghosts in Mt Coronet?,"['Ghost type', 'Mt. Coronet']","Yep, you start running into a lot of weirdness the higher you ascend or the deeper you venture."
189,"So what happens if Ash ever goes swimming? Or takes a shower? Does the feather react in water? Does Ash need to worry about boiling water around him, or electrocuting others in the same pool?","['Ash', 'Concept']",As long as he doesn’t express the Concepts he should be fine. Maybe the water will heat up a bit but at least it won’t be murdering random people lol.
190,Are Dusknoir hostile to those who walk into their crypts automatically?,"['Dusknoir', 'Ghost type', 'Pokemon Behaviour']","They will usually manifest ahead of you and warn you off. If you try to advance, they attack ruthlessly. They won’t draw it out or torture you, but you will die."
191,What ghost types would draw your death out?,"['Dusknoir', 'Ghost type', 'Pokemon Behaviour']",Chandelure.
192,On the League’s judicial branch.,"['Champion', 'League', 'Psychic type']","Basically there’s a vast court system outside of the League’s command structure. It’s created and supported by the League, but the Champion tends to not have direct control of it. Additionally, psychics are heavily involved to determine guilt. There’s less of a legal process (though it is present) for serious and violent crimes and more about a dozen psychics digging through your head to confirm guilt, then those psychics are cross referenced by other psychics. It’s a little nightmarish for our world and would never happen. But in a world where psychics are common, defenses against them are essentially nonexistent, and the foundations of the justice system are built upon psychics existing..."
193,"What is the procedure to get a permission for restricted Pokemon? Do you have to notify the League, and can you even use it in regulated battles before?","['Gym Leader', 'League', 'Pokemon Battle']","Yeah, you have to reach out to the League. Usually a Gym Leader, and they’ll assess you. Sometimes you have to have certain certifications or pass tests"
194,"So even if the Champion catches a restricted Pokemon, he should go through this [trial] or what? [see question 192]",['Champion'],"Champions have the authority to do whatever they want when it comes to training, basically."
195,How old is Surge roughly? Was he in the Last War?,"['Age', 'Last War', 'Rocket War', 'Surge']","Surge is in his early thirties. Old enough to have proven himself in the first Rocket war, but born shortly after the Last War."
196,How powerful are the beasts in comparison to the birds?,"['Legendary Beasts', 'Legendary Birds', 'Legendary Pokemon']",The Beast are roughly equivalent with the Thirds of a Bird!
197,How long ago was the first Rocket war?,['Rocket War'],It took place from roughly 15-11 years ago.
198,"How does Wallace measure up as a combatant to Lance, Steven, and Cynthia?","['Champion', 'Cynthia', 'Lance', 'Steven', 'Wallace']",Wallace stands out from other Champions due to the sheer complexity and intricacy involved in his techniques.
199,"Out of curiosity, how do trainers like Agatha 'fall behind' the newer generations of trainers? Her ghosts are, like rock and steel types, functionally immortal, so they'd hardly lose strength with age like, say, Blaine's team. Is it just continual relative power creep accelerating that quickly among the Leagues?","['Agatha', 'Blaine', 'Ghost type', 'Pokemon Biology']","That was more Agatha referring to herself than her team. You’re right, her team (with a few exceptions) only grows stronger with age. She’s just very tired of her duty and the world."
200,What's the population of the Traveler-verse? By League if possible.,"['Frontier Regions', 'Hoenn', 'Kanto', 'Orre', 'Population', 'Unova']","Hard to pin down exact numbers. I’d say the main regions tend to hold 50-100 million. Somewhere like Hoenn is on the lower end of that while Kanto and Unova are on the higher end. Frontier regions have maybe 1-2 million. Orre has something like 10 million. All in all, I’d say there’s only around a billion humans worldwide."
201,"How serious is power creep? Like, obviously there were big jumps with TMs and Pokeballs. But other than that, what's it like?","['Technology', 'TM']","Major power creep over the last centuries due to more peace and time to train and progression in science, but the biggest appeared with TMs and Pokeballs (pokeballs being the largest due to eliminating many of the logistical problems associated with raising multiple Pokémon). TMs appeared less than twenty years ago and instantly changed the battle circuit. Power creep is pretty much stagnant at this point, with only innovations like multiple use TMs becoming more accessible. It’s mostly leveled off at this point."
202,On Super Speed’s origins.,"['Ash', 'Lance', 'Super Speed']","If I remember right, Super Speed is Ash’s design. Inspired by Lance’s emphasis on speed and maneuverability, but not created by Lance."
203,"Other people have probably made similar things, correct?","['Agility', 'Pidgeot']","Yes, there are plenty of speed boosting techniques, just not in that same regard. It’s not terribly practical for things other than Pidgeot of[or] other incredibly fast fliers - otherwise it’s usually best to enhance other aspects. Agility does the job perfectly well most of the time."
204,Are the other game protagonists only a year younger than Ash?,"['Age', 'Ash', 'Brendan', 'Lucas']","Brendan is about a year and a half younger, Lucas is a little over two years younger, going on with the others. I’m staggering them each a year for the most part."
205,How old would Ash be by the time Hilda started traveling?,"['Age', 'Ash', 'Hilda', 'Last War', 'Unova']",He’d be...15ish? I do have Unova starting at early to mid teens due to the unrest after the Last War. It wasn’t a very safe environment then and the age sort of stuck.
206,Is Hilda closer to Ash’s age since her starting point is staggered more behind him?,"['Age', 'Ash', 'Hilda']","Yep, she’ll be either a year younger or the same age as him."
207,"Was what [redacted] said about the damage to ash if he tried mustering charge what you had in mind, if he tries to use Lightning for anything beyond what amounts to forcing his limbs to carry him forwards like in Greenfield?","['Ash', 'Concept', 'Greenfield']",I won’t say too much on it [redacted] but I will say it is theoretically possible for Ash to channel that much electricity. Won’t go into details at this point.
208,How has Orre's ecosystem recovered after the events of xd?,['Orre'],"Orre’s still a blasted wasteland, but the oases have continued to expand. The main reason pokemon have fled the region in the past is due to hostile human presence, particularly those that would capture and exploit them for gang wars and the like. Some oases have been redevastated as Orre descends more and more into anarchy, but Duking has been able to protect several as well and those have thrived. It’s done a lot in terms of restoring the human/Pokémon relationship in the region."
209,Is it [Orre] home to more than 9 unique species now?,"['Meta', 'Orre']","Yeah, I’m treating the 9 species as just a gameplay mechanic. Although it is evident of certain Pokémon common to the area."
210,"Does Infernus have limited psychic powers? Like, in general could he take them further then they are now and is it worth it?",['Infernus'],"Infernus does have limited psychic powers. They can be taken further, although considering his other talents they’d best be used to enhance his flames at this point. I have some plans for it in the future!"
211,How would ghost/dark type moves affect the psychic abilities of a normal type? Would they still disrupt them?,"['Dark type', 'Ghost type', 'Normal type']",Yep. Ghost and dark type moves are antithetical to psychic abilities.
212,"Do gym leaders have to specialize in one pokemon type? If they do, can they change the gym type if they become a leader?","['Gym', 'Gym Leader']","Gyms tend to have a historical basis for a certain type specialty, but there isn’t a required type. Most trainers on that level tend to be specialists, however. Oftentimes a Gym Leader will adapt their team to fit a city’s historic focus, or at least capture an additional Pokémon or two of that type."
213,Do you have a preferred last name for Agatha?,['Agatha'],Hashimoto for the purposes of your story.
214,What is Kanto's Square Footage?,"['Ash', 'Dark World', 'Kanto', 'Location', 'Plume', 'Region', 'Sinnoh']","Most regions are the size of an average sized US western state - I don’t give exact numbers, but 50-70000 square miles. That tends to be several hundred miles across and up and down, which Plume can very, very easily cover in a day even at a reduced speed that Ash can take. On long trips without much need for maneuvering she can fly faster as well."
215,What concept could Genesect represent?,"['Concept', 'Genesect', 'Giovanni', 'Legendary Pokemon', 'Metagross', 'Mewtwo', 'Steven']","Unova is fun. For Genesect, each will basically be on the level of Steven’s Metagross minus psychic abilities. They’re essential what Giovanni should have done: powerful, reliably produced, controllable super soldiers. Not Legends, but their modifications make them extremely formidable. They’re force multipliers rather than nukes such as Mewtwo. They’re reliable."
216,You said Genesect were reliably made but how reliably were they made?,['Genesect'],"They’re extremely limited in number due to limitations on the number of specimens they can get to perform the process on, the process of augmenting Genesect killing nearly 3/4 of the attempts until it was more fine tuned, and the biggest factor comes down to cost. It’s ridiculously expensive to clone, it’s ridiculously expensive to augment them, and it’s ridiculously expensive to maintain and keep Genesect alive and healthy. They’re extremely resource intensive."
217,"Back with Mewtwo, it was mentioned that he had some trouble grasping dark types were harder to grasp at with his powers. Now considering that Suicune was able to sense Alakazam manipulating the universe, presumably with Suicune’s own powers, would Suicune have the ability to psychically manipulate Karen’s Absol if it was mega evolved? Additionally, since the manipulation of water is considered to be specialised psychic abilities, could Suicune manipulate water that Darkrai had enveloped?","['Absol', 'Alakazam', 'Darkrai', 'Karen', 'Legendary Pokemon', 'Mega Evolution', 'Mewtwo', 'Suicune', 'Psychic type']","One thing to remember is that it’s entirely different for Legends. Suicune’s abilities are similar to psychic powers, but it senses Alakazam through the wind and rain. In practice it’s like a massive psychic awareness, but it’s different in that it’s innately tied to the universe. Psychic abilities stand out as flashes, so it was able to sense Alakazam’s intentions and attempt."
218,Could you clarify the example that [redacted] talked about the corrupted water and would Suicune be able to manipulate it? [see question 217],"['Darkrai', 'Legendary Pokemon', 'Suicune']","If it was actively in contact with Darkrai, no. But if Darkrai left, it would be able to purge the corruption with a great deal of focus."
219,Is the corrupted water just a byproduct from Darkrai or does he actively corrupt it? [see question 218],['Infernus'],"Just in the area, and it’s a byproduct of Darkrai’s existence."
220,Would that mean Darkrai would be more powerful then Suicune? [see question 219],"['Darkrai', 'Legendary Beasts', 'Legendary Pokemon', 'Suicune']",It’s not really about power in this case. They just have different natures and different influences on the world.
221,"Isn't Lance the strongest, and Cynthia the most skilled?","['Champion', 'Cynthia', 'Lance', 'Steven', 'Pokemon Battle']","Yeah, Lance has an edge over Cynthia but they’re basically even. Cynthia beats him out in versatility and she can beat him fairly evenly, but he’s a harder fight for her than Steven is - Lance is fairly unpredictable and wild, which makes it harder for Cynthia’s team to pick him apart like she can Steven."
222,What's the differences between the various poisons used by pokemon? Like is Nidoking's venom different from a Seviper or Tentacruel and is Seviper and Arbok venom the same or Garbador and Muk sludge etc.? Can Weezing produce different types of poison gas?,"['Arbok', 'Garbodor', 'Muk', 'Poison type', 'Pokemon Biology', 'Seviper', 'Tentacruel', 'Weezing']","Sorry for the wait, I missed this one. There are definitely different kinds of poisons, although I imagine them to be fairly similar in structure with just minor variations for the most part. Most Pokémon venom or poison is ridiculously effective."
223,"What did Michael do differently from Wes? Does Micheal keep his full team on him at all times or in orre does he fight fully lethal ""go for the trainers""?","['Ardos', 'Citadark Isle', 'Eldes', 'Greevil', 'Michael', 'Rui', 'Wes']","And basically, the explanation above is correct. Wes and Rui cut off an arm. They dealt massive damage that took years to recover from, but the organization survived. Michael cut off the head with Greevil."
224,"Do gym leaders use their true teams on challengers when they are no longer rookies or have participated in a League Conference? Or both? And speaking of the Conference there were mentions of repeat competitors. So are Badges earned in one season valid for only tha Conference of the same year or is it earned once,lifetime qualifications situation?","['Blaine', 'Conference', 'Giovanni', 'Gym Badges', 'Gym Leader', 'Sabrina']","It’s essentially up to the Gym Leader’s discretion. In general they match their teams to their opponent. You’ll have a few - such as Sabrina, Blaine, and Giovanni - who always fight at a higher level. They’re the gatekeepers to the Conference. But Gym Leaders ten[d]s to fight around their opponents level - people with no badges get newer or inexperienced opponents, while they gradually scale up."
225,On the Indigo Conference’s bracket.,"['Conference', 'Indigo Conference', 'Gym Badges', 'Pokemon Trainer']","Yep, for trainers that didn’t get all 8 main badges they had to go through admission rounds to whittle the numbers down for the actual Conference."
226,When do the admission rounds happen? [see question 225],"['Conference', 'Indigo']",The weeks before.
227,"What's the information regarding pseudo-legendaries and how ""special"" they are compared to normal Pokemon?","['Ash', 'Dragonite', 'Master Trainer', 'Metagross', 'Michael', 'Pierce', 'Pokemon Battle', 'Princess', 'Pseudo Legendary', 'Salamence']",Pseudo-legendaries are naturally powerful Pokémon. As wild Pokémon they’ll tend to be unmatched and claim a status as apex predators. At the lower and middle tiers of battle they’re pretty much unstoppable due to their natural advantages. Just look at Pierce’s Metagross.
228,On whether Michael fought Mewtwo.,"['Giovanni', 'Mewtwo', 'Michael', 'Pokemon Trainer']",Michael fought Giovanni before Mewtwo was brought in. It took a while before Mewtwo could regulate his power enough to ‘safely’ fight normal trainers.
229,"Aside from Lucario/Riolu other Pokemon can learn Aura Sphere. Is the reason the same as Lucario, that they have an innate ability to control aura as well?","['Aura', 'Aura Sphere', 'Lucario', 'Riolu']","In Traveler, Aura Sphere is more a raw expression of Aura. It’s a commonality to many Pokémon and humans who know of Aura - either through extensive self-reflection or because their species have communities that pass down knowledge of Aura - because it’s simple yet effective. It’s a physical manifestation of a desire or need to attack."
230,Does Lance know about the aura?,"['Aura', 'Lance']",Lance does know about Aura.
231,"Does the Bond Phenomenon come into play at all, and if it does, does it have anything to do with Aura?","['Ash', 'Aura', 'Bond Phenomenon', 'Greninja']","We likely won’t see something exactly like Bond Phenomenon in exact terms of how Ash/Greninja interacted, but it does have to do with Aura."
232,On Aura.,"['Aura', 'Bruno', 'Cynthia']","In Traveler, Aura is essentially self expression. It’s using a part of yourself and expressing it physically into the world. Bruno has dedicated his life to training and combat, and as a result he can fortify his body to superhuman levels. Cynthia seeks knowledge and spent her life working with her team, so she has Aura abilities enhancing those aspects of her character."
233,I assume Ash will eventually at least study it[Aura]?,"['Ash', 'Aura']",Sort of. He’s studying it right now in a way.
234,"So the question is for those[Legendary Pokemon] that embody a concept, were they created already representing their respective concept or were they given a role and modelled themselves after it?","['Concept', 'Legendary Pokemon']","I won’t give a hard rule, but you can think of Legends as an entity built around a Concept. They’re the expression of a Concept in the physical world."
235,On Ash’s team.,['Ash'],"So this won’t help in the meantime, but as of this moment Ash is going to end his journey with 14 Pokémon. Just for something to refer to later on."
236,How likely is a pokemon like skarmory to accidentally harm its trainer?,"['Pokemon Trainer', 'Skarmory']",Fairly unlikely. It can happen (especially if Skarmory is freshly caught and unused to taking care) but in general Skarmory are aware of how dangerous they can be to their trainer and take steps to prevent any injuries.
237,Flying on one is more hazardous though? [see question 236],['Skarmory'],Oh yeah. It requires specialized equipment to keep a trainer from being sliced to ribbons.
238,I assume that starter pokemon are endangered and have breeding programs/ranches?,"['Pokemon Biology', 'Pokemon Starter', 'Population']","Sort of. They exist in the wild nowadays, but mostly on preserves due to serious loss of population in the past. It depends on the region, however."
239,So this just popped into my head. Can a Jigglypuff or etc's Sing be controlled enough to selectively put to sleep opponents without affecting others in hearing range? And can it be recorded to put others to sleep?,"['Jigglypuff', 'Sing']","Good question! That definitely depends. I see Sing as having a psychic component that makes it more effective, which can be controlled by a skilled Jigglypuff. It’s fairly difficult, however, and requires a lot of focus to not just ‘broadcast’."
240,What's the difference between mental arts and physical manipulation?,['Psychic type'],"Mental arts involve manipulation of emotions, thoughts, and perceptions via psychic influence. Physical manipulation is the projection and creation of force, barriers, and finer methods of manipulating matter, energy, and force."
241,Can psychic pokemon be good at both mental art and physical manipulation?,"['Alakazam', 'Dazed', 'Espeon', 'Gardevoir', 'Psychic type']","Yep. Just look at Dazed, whose species specializes in mental arts yet she’s incredibly powerful with physical manipulation through extensive training. Alakazam and several other species (Espeon and Gardevoir for example) are also good at both."
242,"Why do we need Bob to teleport Ash, when he can take help from Dazed?","['Alakazam', 'Ash', 'Bob', 'Dazed', 'Mewtwo', 'Psychic type', 'Teleport']","Dazed isn’t really capable of long range teleportation. She could do a few miles at best (without being juiced up on Mewtwo’s power, which she wants to avoid for obvious reasons haha). Even most Alakazam have to do jumps for cross-region travel. Members of the Teleportation Squad are incredibly specialized in teleporting and are capable of jumping across entire regions by themselves in a single teleport."
243,Can it[Sabrina’s Alakazam] teleport long range?,"['Alakazam', 'Metagross', 'Psychic type', 'Sabrina', 'Steven']","Yep. Sabrina’s Alakazam is basically a Master of All when it comes to psychic abilities. It’s got similar physical abilities to a powerful Metagross (not Steven’s, of course), excellent mental abilities, and great space-time manipulation."
244,"Has anyone ever tried to build a mecha for a Rotom to possess? Is that legal for a regulated match? In fact, can Rotom possessed appliances be stored in pokeballs and used for matches?","['Cynthia', 'Ghost type', 'League', 'National League', 'Rotom', 'Spiritomb']","I have Rotom as being fairly elusive and mysterious - not unknown, but quite rare at this point in time (especially in the National League). There hasn’t been a ton of research into them, although I can definitely see powerful bodies being built for them by the League once they reach that point. Rotom in appliances can be used for matches - I figure if something as awful as Cynthia’s Spiritomb can be used a Rotom can be as well haha."
245,Are there Elite Four or Pokemon League insignias?,"['Elite Four', 'Hoenn', 'Indigo League', 'League', 'Lily of the Valley', 'National League', 'Rhydon', 'Salamence', 'Sinnoh']","So the National League’s insignia is just a stylized pokeball, Indigo’s is a circle with a bisected Rhydon’s head, Sinnoh’s is a stylized Lily of the valley, and Hoenn’s is a Salamence."
246,On the insignia used by the Indigo League.,"['Indigo', 'Johto', 'Kanto', 'League', 'Moltres']","Indigo DOES heavily use the Flame of Moltres as a symbol, however. It’s not the official insignia, but it has a lot of history and power in Kanto and Johto."
247,On the Dark World’s inaccessibility.,"['Champion', 'Dark World', 'League']","No Champions or ranking League members have tried to enter the Dark World in centuries - people have tried to explore for thousands of years, but at this point it’s a known death sentence. Occasional explorers still enter, but they’re never seen again."
248,Would Unova’s [insignia] be a Braviary? [see question 245],"['Braviary', 'Kalos', 'League', 'Unova']","I’ll have to think about Kalos’ but yeah, Braviary is the current symbol. Under the former regime it was a Hydreigon."
249,Can Humans travel to outer space?,['Technology'],"Humans can go to outer space and have sent satellites up, but they have a fairly low success rate - quite a few tend to be mysteriously destroyed."
250,What happens to the feather when the bearer dies?,"['Champion', 'Feather', 'Haukea', 'Lance', 'Legendary Birds', 'Moltres']","In general, the Feather will dissipate unless the Bird desires it to be passed on to a new bearer. Tani’s Feather faded away when she died, Lance’s would most likely do the same (unless he died as Champion, in which case Moltres would likely desire for the Feather to be picked up by someone new and the covenant renewed). Haukea’s would remain in the world, but anyone who picked it up would regret it."
251,On why Blast Burn is frequently taught using a TM.,"['Blast Burn', 'Fire type', 'Master Trainer', 'Technology', 'TM']","I will say that a proper Blast Burn has an element of technique and control to it that is VERY difficult for a fire-type to discover and master on their own. There are several ‘forms’ of Blast Burn, each acting as a stage that preps the fire-type for the next until eventually you arrive at the final product. There’s a reason it’s a Master-level technique."
252,"Presumably Jonathan was at the very first stage, then? [see question 251]","['Blast Burn', 'Fire type', 'Jonathan']","Yep. Jonathan walked away with a very powerful technique, but he doesn’t have the full product yet."
253,So could a Torkoal learn Blast Burn?,"['Blast Burn', 'Fire type']","In Traveler, pretty much any fire-type can learn Blast Burn. Raw power helps, but it’s only one piece of the puzzle. I see it being restricted to starters as purely a game mechanic."
